company,job_tittle,role_family,experiance,exp_min,exp_mid,exp_max,exp_bucket,location,primary_city,metro,location_level,salary,salary_clean,salary_min,salary_mid,salary_max,salary_bucket,required_skill,has_python,has_sql,has_excel,has_power_bi,has_tableau,has_machine_learning,has_pandas,has_numpy,has_spark,has_aws,has_statistics,job_detail
livspace,business analyst,business analyst,4-6,4,5.0,6,junior (3–5),bengaluru,bangalore,bangalore,city,10L_to_15L,10l_to_15l,10.0,12.5,15.0,10-15 LPA,['sql'],0,1,0,0,0,0,0,0,0,0,0,"['Role: Business Analyst', 'Industry Type: Real Estate', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate']"
finastra,business analyst,business analyst,5-10,5,7.5,10,mid (6–8),bengaluru,bangalore,bangalore,city,10L_to_15L,10l_to_15l,10.0,12.5,15.0,10-15 LPA,"['procurement', 'erp', 'excel', 'business analysis', 'analytical', 'billing', 'budgeting', 'forecasting', 'financial services', 'business operations']",0,0,1,0,0,0,0,0,0,0,0,"['Role: Business Analyst', 'Industry Type: Financial Services', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate', 'PG: Any Postgraduate']"
mastercard,analytics consultant,analytics,3-7,3,5.0,7,junior (3–5),hyderabad,hyderabad,hyderabad,city,10L_to_15L,10l_to_15l,10.0,12.5,15.0,10-15 LPA,"['hive', 'sql', 'python', 'impala', 'cloudera', 'advisory services', 'scala', 'apache pig', 'plsql', 'java', 'spark', 'shell scripting', 'mysql', 'hadoop', 'big data', 'hbase', 'oracle', 'sas', 'power bi', 'microsoft azure', 'tableau', 'r', 'mapreduce', 'sqoop', 'informatica', 'unix']",1,1,0,1,1,0,0,0,1,0,0,"['Role: Analytics Consultant', 'Industry Type: Banking', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate', 'PG: Any Postgraduate']"
western digital,machine learning engineer,aiml,2-4,2,3.0,4,junior (3–5),bengaluru,bangalore,bangalore,city,10L_to_15L,10l_to_15l,10.0,12.5,15.0,10-15 LPA,"['computer science', 'analytical skills', 'c++', 'interpersonal skills', 'artificial intelligence', 'machine learning', 'data processing', 'natural language processing', 'python']",1,0,0,0,0,1,0,0,0,0,0,"['Role: Machine Learning Engineer', 'Industry Type: Electronic Components / Semiconductors', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Machine Learning', 'UG: Any Graduate', 'PG: Any Postgraduate']"
accenture,nlp,aiml,5-10,5,7.5,10,mid (6–8),bengaluru,bangalore,bangalore,city,10L_to_15L,10l_to_15l,10.0,12.5,15.0,10-15 LPA,"['natural language processing', 'google', 'artificial intelligence', 'solution design', 'machine learning algorithms', 'python', 'data architecture', 'machine learning', 'pca', 'gen', 'node.js', 'gcp']",1,0,0,0,0,1,0,0,0,0,0,"['Role: NLP / DL Engineering / Architect', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Machine Learning', 'UG: Any Graduate', 'PG: Any Postgraduate']"
adecco,machine learning engineer,aiml,3-6,3,4.5,6,junior (3–5),bengaluru,bangalore,bangalore,city,11-20 Lacs P.A.,11-20 lacs,11.0,15.5,20.0,15-25 LPA,"['natural language processing', 'machine learning', 'python', 'postgresql', 'mongodb']",1,1,0,0,0,1,0,0,0,0,0,"['Role: Machine Learning Engineer', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Machine Learning', 'UG: B.Tech/B.E. in Any Specialization', 'PG: M.Tech in Any Specialization']"
sap,analytics consultant,analytics,13-18,13,15.5,18,lead (13+),bengaluru,bangalore,bangalore,city,10L_to_15L,10l_to_15l,10.0,12.5,15.0,10-15 LPA,"['sap', 'iso', 'hp data protector', 'analytical', 'data processing', 'risk management', 'powerpoint', 'analytics', 'auditing']",0,0,0,0,0,0,0,0,0,0,0,"['Role: Analytics Consultant', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate', 'PG: Any Postgraduate']"
taskus,analytics,analytics,7-12,7,9.5,12,senior (9–12),hyderabad,hyderabad,hyderabad,city,10L_to_15L,10l_to_15l,10.0,12.5,15.0,10-15 LPA,"['project management', 'presentation skills', 'business analysis', 'marketing', 'python', 'machine learning', 'workforce management', 'artificial intelligence', 'sales', 'account management', 'real time analysis', 'product management', 'aspect', 'rta', 'wfm']",1,0,0,0,0,1,0,0,0,0,0,"['Role: Analytics / BI Manager', 'Industry Type: BPM / BPO', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate', 'PG: Any Postgraduate']"
accenture,analytics,analytics,13-18,13,15.5,18,lead (13+),bengaluru,bangalore,bangalore,city,10L_to_15L,10l_to_15l,10.0,12.5,15.0,10-15 LPA,"['project management', 'information technology', 'sales', 'infrastructure management', 'agile', 'hive', 'site execution', 'bar bending schedule', 'orientation', 'python', 'contractor billing', 'client billing', 'new product', 'spark', 'gcp', 'site engineering']",1,0,0,0,0,0,0,0,1,0,0,"['Role: Analytics / BI Manager', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate', 'PG: Any Postgraduate']"
ibm,data scientist,aiml,3-7,3,5.0,7,junior (3–5),bengaluru,bangalore,bangalore,city,10L_to_15L,10l_to_15l,10.0,12.5,15.0,10-15 LPA,"['python', 'natural language processing', 'predictive', 'machine learning', 'prototype', 'artificial intelligence', 'sql', 'pandas', 'deep learning', 'r', 'java', 'cobol', 'data science', 'big data', 'statistics']",1,1,0,0,0,1,1,0,0,0,1,"['Role: Data Scientist', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Machine Learning', 'UG: Any Graduate', 'PG: Any Postgraduate']"
