company,experiance,city,salary,job_detail,required_skill
Ahead,4 - 7 years,Gurugram,0_to_3L,"['Role: System Security Engineer', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: Any Graduate', 'PG: Any Postgraduate']","['information security', 'vulnerability management', 'siem', 'log analysis', 'tcp', 'security analysis', 'network security', 'ip networking', 'soc', 'ip', 'ceh', 'networking', 'intrusion detection', 'cissp', 'firewall', 'linux', 'ids', 'troubleshooting']"
Ahead,8 - 10 years,Gurugram,0_to_3L,"['Role: Security Engineer / Analyst', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: Any Graduate', 'PG: Any Postgraduate']","['tcp', 'ip networking', 'firewall', 'linux', 'ids', 'security analysis', 'network security', 'soc', 'ceh', 'ip', 'networking', 'intrusion detection', 'cissp', 'troubleshooting']"
Acesoft labs pvt ltd,6 - 10 years,Hyderabad,0_to_3L,"['Role: Security Architect / Consultant', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Temporary/Contractual', 'Role Category: IT Security', 'UG: Any Graduate']","['ISO 27001', 'Cissp']"
Amgen Inc,5 - 9 years,Hyderabad,0_to_3L,"['Role: System Security Engineer', 'Industry Type: Pharmaceutical & Life Sciences', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: Any Graduate', 'PG: Any Postgraduate']","['iam', 'gcp', 'troubleshooting', 'information systems', 'aws', 'information security', 'microsoft azure', 'access management', 'cissp', 'identity management', 'encryption', 'ldap', 'sailpoint', 'access control']"
ERM Placement Services,4 - 7 years,Mumbai (All Areas),0_to_3L,"['Role: Security Engineer / Analyst', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: B.Tech/B.E. in Any Specialization']","['Cloud Security', 'Application Security', 'Network Security']"
Amgen Inc,1 - 3 years,Hyderabad,0_to_3L,"['Role: Security Testing Engineer', 'Industry Type: Pharmaceutical & Life Sciences', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate']","['security operations', 'python', 'cyber security', 'information security', 'owasp', 'simulation', 'automation testing', 'manual testing', 'test engineering', 'selenium', 'powershell', 'bash', 'penetration testing', 'testing methodologies', 'nmap']"
Accuknox,0 - 1 years,Remote,0_to_3L,"['Role: Manual Test Engineer', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: Any Graduate', 'PG: Any Postgraduate']","['System architecture', 'Stress testing', 'cloud security', 'Load testing', 'Testing tools', 'Performance testing', 'Vulnerability', 'Test cases', 'Penetration testing']"
Airtel,1 - 6 years,Delhi / NCR,0_to_3L,"['Role: Security Engineer / Analyst', 'Industry Type: Telecom / ISP', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: Any Graduate']","['SOC', 'Arcsight', 'SIEM', 'Qradar', 'Splunk', 'Elastic Search', 'Security Operations Center', 'Security Monitoring']"
Digiswitch Infotech Pvt LTD.,3 - 7 years,Noida( Sector 132 ),"50,000-70,000 P.A.","['Role: IT Support - Other', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Support', 'UG: BCA in Any Specialization, B.Tech/B.E. in Any Specialization, B.Sc in Computer Technology, Maths, Information System Management, Physics, Computers, Statistics, Physics, Chemistry, Mathematics, Electronics']","['Linux Support', 'Cyber Security', 'SIEM']"
Accenture,1 - 3 years,Gurugram,0_to_3L,"['Role: IT Support - Other', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Support', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate']","['architectural design', 'enterprise mobility', 'troubleshooting', 'switching', 'tcp', 'network security', 'cyber security', 'ip', 'networking', 'network administration', 'siem', 'routing', 'system administration', 'technical support', 'firewall', 'ccna']"
