company,job_tittle,role_family,experiance,exp_min,exp_mid,exp_max,exp_bucket,location,primary_city,metro,location_level,salary,salary_clean,salary_min,salary_mid,salary_max,salary_bucket,skills,has_python,has_sql,has_excel,has_power_bi,has_tableau,has_machine_learning,has_pandas,has_numpy,has_spark,has_aws,has_statistics,job_detail
amgen inc,data science & analytics,aiml,5-9,5,7.0,9,mid (6–8),hyderabad,hyderabad,hyderabad,city,6L_to_10L,6l_to_10l,6.0,8.0,10.0,6-10 LPA,data analysis,1,1,0,0,0,1,0,0,0,0,0,"['Role: Data Science & Analytics - Other', 'Industry Type: Pharmaceutical & Life Sciences', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Analytics - Other', 'UG: Any Graduate', 'PG: Any Postgraduate']"
amgen inc,data science & analytics,aiml,5-9,5,7.0,9,mid (6–8),hyderabad,hyderabad,hyderabad,city,6L_to_10L,6l_to_10l,6.0,8.0,10.0,6-10 LPA,machine learning,1,1,0,0,0,1,0,0,0,0,0,"['Role: Data Science & Analytics - Other', 'Industry Type: Pharmaceutical & Life Sciences', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Analytics - Other', 'UG: Any Graduate', 'PG: Any Postgraduate']"
amgen inc,data science & analytics,aiml,5-9,5,7.0,9,mid (6–8),hyderabad,hyderabad,hyderabad,city,6L_to_10L,6l_to_10l,6.0,8.0,10.0,6-10 LPA,sql,1,1,0,0,0,1,0,0,0,0,0,"['Role: Data Science & Analytics - Other', 'Industry Type: Pharmaceutical & Life Sciences', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Analytics - Other', 'UG: Any Graduate', 'PG: Any Postgraduate']"
amgen inc,data science & analytics,aiml,5-9,5,7.0,9,mid (6–8),hyderabad,hyderabad,hyderabad,city,6L_to_10L,6l_to_10l,6.0,8.0,10.0,6-10 LPA,r,1,1,0,0,0,1,0,0,0,0,0,"['Role: Data Science & Analytics - Other', 'Industry Type: Pharmaceutical & Life Sciences', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Analytics - Other', 'UG: Any Graduate', 'PG: Any Postgraduate']"
webmd,business analyst,business analyst,5-8,5,6.5,8,mid (6–8),"navi mumbai, mumbai",mumbai,mumbai,city,10L_to_15L,10l_to_15l,10.0,12.5,15.0,10-15 LPA,sql,0,1,0,0,0,0,0,0,0,0,0,"['Role: Business Analyst', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: B.Sc in Data Science, Computer Technology, Artificial Intelligence and Data Science, Artificial Intelligence and Machine Learning, Computers, Computer Science, Information Science, Cyber Security, IT, Artificial Intelligence, BCA in Any Specialization, B.Tech/B.E. in Electronics/Telecommunication, Computer Science and Business System, Artificial Intelligence And Machine Learning, Computer Science Engineering, Data Science, Electronics And Communication Engineering, Information Technology, Artificial Intelligence, Computer Science, Computer Engineering, Artificial Intelligence And Data Science, Cyber Security, Computers']"
pacific global solutions,nlp,aiml,4-6,4,5.0,6,junior (3–5),ahmedabad,ahmedabad,ahmedabad,city,10-15 Lacs P.A.,10-15 lacs,10.0,12.5,15.0,10-15 LPA,machine learning,0,0,0,0,0,1,0,0,0,0,0,"['Role: NLP / DL Engineering / Architect', 'Industry Type: Software Product', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Machine Learning', 'UG: B.Tech/B.E. in Computer Science Engineering, AIML, Data Science, Information Technology, Computer Science, Computer Engineering, Artificial Intelligence And Data Science, Cyber Security, Computers, Artificial Intelligence And Machine Learning', 'PG: MBA/PGDM in Information Technology', 'Doctorate: Ph.D/Doctorate in Computers']"
pacific global solutions,nlp,aiml,4-6,4,5.0,6,junior (3–5),ahmedabad,ahmedabad,ahmedabad,city,10-15 Lacs P.A.,10-15 lacs,10.0,12.5,15.0,10-15 LPA,natural language processing,0,0,0,0,0,1,0,0,0,0,0,"['Role: NLP / DL Engineering / Architect', 'Industry Type: Software Product', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Machine Learning', 'UG: B.Tech/B.E. in Computer Science Engineering, AIML, Data Science, Information Technology, Computer Science, Computer Engineering, Artificial Intelligence And Data Science, Cyber Security, Computers, Artificial Intelligence And Machine Learning', 'PG: MBA/PGDM in Information Technology', 'Doctorate: Ph.D/Doctorate in Computers']"
cloudxtreme,business analyst,business analyst,9-14,9,11.5,14,senior (9–12),"kolkata, bengaluru, mumbai",kolkata,kolkata,city,15L_to_25L,15l_to_25l,15.0,20.0,25.0,15-25 LPA,excel,0,0,1,0,0,0,0,0,0,0,0,"['Role: Business Analyst', 'Industry Type: BPM / BPO', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Temporary/Contractual', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate']"
legato,nlp,aiml,5-8,5,6.5,8,mid (6–8),"gurugram, bengaluru",delhi ncr,delhi ncr,city,15L_to_25L,15l_to_25l,15.0,20.0,25.0,15-25 LPA,nlp,1,1,0,0,0,0,0,0,0,1,0,"['Role: NLP / DL Engineering / Architect', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Machine Learning', 'UG: B.Tech/B.E. in Electronics, Applied Electronics And Instrumentation, Computer Science Engineering, Electronics And Communication, Data Science, Electronics And Communication Engineering, Artificial Intelligence, Computer Engineering, Artificial Intelligence And Data Science, Engineering Physics, Robotics And Automation, Medical Electronics, Electrical, Electronics/Telecommunication, Mechanical, Artificial Intelligence And Machine Learning, ECE, Electrical and Electronics, Information Science, Information Technology, Computer Science, Electronic And Communication Engineering, Cyber Security, Electronics And Computer Engineering, Computers, Electronics And Instrumentation Engineering, Electronics Engineering', 'PG: MCA in Any Specialization, M.Tech in Any Specialization']"
legato,nlp,aiml,5-8,5,6.5,8,mid (6–8),"gurugram, bengaluru",delhi ncr,delhi ncr,city,15L_to_25L,15l_to_25l,15.0,20.0,25.0,15-25 LPA,aws,1,1,0,0,0,0,0,0,0,1,0,"['Role: NLP / DL Engineering / Architect', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Machine Learning', 'UG: B.Tech/B.E. in Electronics, Applied Electronics And Instrumentation, Computer Science Engineering, Electronics And Communication, Data Science, Electronics And Communication Engineering, Artificial Intelligence, Computer Engineering, Artificial Intelligence And Data Science, Engineering Physics, Robotics And Automation, Medical Electronics, Electrical, Electronics/Telecommunication, Mechanical, Artificial Intelligence And Machine Learning, ECE, Electrical and Electronics, Information Science, Information Technology, Computer Science, Electronic And Communication Engineering, Cyber Security, Electronics And Computer Engineering, Computers, Electronics And Instrumentation Engineering, Electronics Engineering', 'PG: MCA in Any Specialization, M.Tech in Any Specialization']"
