company,experiance,city,salary,job_detail,required_skill,job_tittle
j s held,7 - 12 years,Mumbai,6L_to_10L,"['Role: Blockchain Quality Assurance Engineer', 'Industry Type: Management Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Computer science', 'Front end', 'Access management', 'XML', 'Active directory', 'Agile', 'JSON', 'Scrum', 'microsoft', 'SQL']",Blockchain Quality Assurance Engineer
nasuni,5 - 10 years,Hyderabad,6L_to_10L,"['Role: Blockchain Quality Assurance Engineer', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Networking protocols', 'Data management', 'Enterprise applications', 'Postgresql', 'Data structures', 'Perl', 'Customer support', 'SDK', 'Open source']",Blockchain Quality Assurance Engineer
unknown company,2 - 6 years,Bengaluru,6-11 Lacs P.A.,"['Role: Test Analyst', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: B.Tech/B.E. in Any Specialization']","['Embedded C', 'Avionics']",Test Analyst
kpmg india,3 - 8 years,Bengaluru,7-17 Lacs P.A.,"['Role: Quality Assurance - Other', 'Industry Type: IT Services & Consulting', 'Department: Quality Assurance', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance - Other', 'UG: Any Graduate']","['Microsoft Dynamics', 'CRM']",Quality Assurance
unknown company,4 - 6 years,Mumbai (All Areas)( Andheri MIDC ),9-15 Lacs P.A.,"['Role: Automation Test Engineer', 'Industry Type: Gems & Jewellery', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: B.Tech/B.E. in Any Specialization, BCA in Computers']","['SSMS', 'JavaScript', 'VS Code', 'Python', 'SQL']",Automation Test Engineer
dezerv,3 - 8 years,Bengaluru,6L_to_10L,"['Role: Blockchain Quality Assurance Engineer', 'Industry Type: Investment Banking / Venture Capital / Private Equity', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Computer science', 'Wealth management', 'Software development life cycle', 'Programming', 'Application development', 'Mobile applications', 'Android', 'Technical documentation', 'Investment']",Blockchain Quality Assurance Engineer
luxoft,2 - 6 years,Bengaluru,6L_to_10L,"['Role: Post Silicon Test Engineer', 'Industry Type: Legal', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate']","['git', 'debugging', 'ffmpeg', 'gstreamer', 'c++', 'android', 'docker', 'java', 'embedded systems', 'linux', 'installation', 'jenkins', 'json', 'html', 'multithreading', 'data structures', 'mysql', 'jira', 'python', 'video codecs', 'javascript', 'multimedia', 'troubleshooting', 'aws', 'performance analysis']",Post Silicon Test Engineer
phoenix robotix,3 - 5 years,Bengaluru,6L_to_10L,"['Role: Blockchain Quality Assurance Engineer', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: B.Tech/B.E. in Any Specialization, Any Graduate', 'PG: Any Postgraduate']","['C++', 'Linux', 'Analytical', 'Firmware', 'Sensors', 'SPI', 'Monitoring', 'Analytics', 'Python', 'Technical documentation']",Blockchain Quality Assurance Engineer
twenty20 systems,7 - 10 years,Bengaluru,6L_to_10L,"['Role: Blockchain Quality Assurance Engineer', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Automation', 'Operational excellence', 'XML', 'Javascript', 'Agile', 'TIBCO', 'Informatica', 'SQL', 'Python']",Blockchain Quality Assurance Engineer
it company,5 - 10 years,"Hyderabad, Pune, Bengaluru",9-17 Lacs P.A.,"['Role: Test Analyst', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: Any Graduate']","['SAP FICO', 'Automation', 'Testing']",Test Analyst
it company,5 - 10 years,"Pune, Chennai, Bengaluru",9-15 Lacs P.A.,"['Role: Automation Test Engineer', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: Any Graduate']",['Automation Testing'],Automation Test Engineer
unknown company,5 - 8 years,India,6L_to_10L,"['Role: Blockchain Quality Assurance Engineer', 'Industry Type: Recruitment / Staffing', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate']","['erp', 'job posting', 'qe', 'oracle erp', 'data analysis', 'data validation', 'psv sizing', 'automation testing', 'back office operations', 'auditing', 'autocad', 'hysys', 'control-m', 'sql', 'process engineering', 'selenium', 'hydraulic calculations', 'aws', 'unix']",Blockchain Quality Assurance Engineer
unknown company,6 - 8 years,Karnataka,6L_to_10L,"['Role: QA Team Manager', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate']","['regression testing', 'test case creation', 'requirement analysis', 'functionality testing', 'test scenarios', 'test case execution', 'documentation', 'test cases', 'test scripts', 'salesforce', 'test data', 'quality assurance', 'jira']",QA Team Manager
unknown company,5 - 10 years,Karnataka,6L_to_10L,"['Role: Post Silicon Test Engineer', 'Industry Type: Recruitment / Staffing', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: B.Tech/B.E. in Production/Industrial, Any Graduate', 'PG: MS/M.Sc(Science) in Chemistry']","['rsvp', 'mpls', 'l2vpn', 'te', 'ldp', 'circuit', 'l3vpn', 'tcpdump', 'bgp', 'ansible', 'wireshark', 'robot', 'selenium', 'vlan', 'pim', 'linux', 'netconf', 'debugging', 'software engineering', 'web application testing', 'dhcp', 'erps', 'python', 'spirent', 'ospf', 'igmp', 'mpls vpn', 'vpls', 'ixia']",Post Silicon Test Engineer
benovymed healthcare private limited,10 - 12 years,Kolkata,6L_to_10L,"['Role: Engineering Manager', 'Industry Type: Medical Services / Hospital', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Software Development', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate', 'Doctorate: Doctorate Not Required']","['Software Engineering', 'AWS']",Engineering Manager
benovymed healthcare private limited,10 - 12 years,Chennai,6L_to_10L,"['Role: Engineering Manager', 'Industry Type: Medical Services / Hospital', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Software Development', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate', 'Doctorate: Doctorate Not Required']",['AWS'],Engineering Manager
benovymed healthcare private limited,10 - 12 years,Indore,6L_to_10L,"['Role: Engineering Manager', 'Industry Type: Medical Services / Hospital', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Software Development', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate', 'Doctorate: Doctorate Not Required']","['Java', 'Appium', 'Robotium', 'MySQL', 'PHP', '.Net', 'MongoDB', 'Selenium', 'Oracle', 'AWS', 'Ruby', 'Python']",Engineering Manager
benovymed healthcare private limited,10 - 12 years,Pune,6L_to_10L,"['Role: Engineering Manager', 'Industry Type: Medical Services / Hospital', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Software Development', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate', 'Doctorate: Doctorate Not Required']","['Java', 'Appium', 'Robotium', 'MySQL', 'PHP', '.Net', 'MongoDB', 'Selenium', 'Oracle', 'AWS', 'Ruby', 'Python']",Engineering Manager
benovymed healthcare private limited,10 - 12 years,Gurugram,6L_to_10L,"['Role: Engineering Manager', 'Industry Type: Medical Services / Hospital', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Software Development', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate', 'Doctorate: Doctorate Not Required']","['Java', 'Appium', 'Robotium', 'MySQL', 'PHP', '.Net', 'MongoDB', 'Selenium', 'Oracle', 'AWS', 'Ruby', 'Python']",Engineering Manager
agivant technologies,4 - 7 years,Pune,6L_to_10L,"['Role: Blockchain Quality Assurance Engineer', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Automation', 'NoSQL', 'GCP', 'Cloud', 'Agile', 'Infrastructure', 'Application development', 'Oracle', 'Distribution system', 'Monitoring']",Blockchain Quality Assurance Engineer
ivalua,1 - 6 years,Pune,6L_to_10L,"['Role: Test Analyst', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate']","['Procurement', 'Supply chain', 'Business process', 'Career development', 'Data validation', 'Cash flow', 'Monitoring', 'SQL']",Test Analyst
blackbaud,1 - 5 years,Hyderabad,6L_to_10L,"['Role: Blockchain Quality Assurance Engineer', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate']","['python', 'c++', 'software development', 'sql', 'java', 'algorithms', 'rest', 'hibernate', 'javascript', 'microservices', 'spring', 'spring boot', 'react.js', 'node.js', 'git', 'design patterns', 'j2ee', 'troubleshooting', 'software engineering', 'code review', 'data structures', 'multithreading', 'agile', 'aws']",Blockchain Quality Assurance Engineer
job fittment finder,3 - 5 years,"Jaipur, Bengaluru",8-18 Lacs P.A.,"['Role: Automation Test Engineer', 'Industry Type: Software Product', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: Any Graduate']","['Java', 'Automation', 'Design Patterns', 'Selenium', 'OOPS', 'Object Oriented Programming']",Automation Test Engineer
unknown company,6 - 9 years,India,6L_to_10L,"['Role: Quality Assurance and Testing - Other', 'Industry Type: Recruitment / Staffing', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate']","['erp', 'database testing', 'erp testing', 'qe', 'oracle erp', 'data analysis', 'data validation', 'psv sizing', 'back office operations', 'auditing', 'training', 'autocad', 'hysys', 'control-m', 'sql server', 'job posting', 'sql', 'process engineering', 'hydraulic calculations', 'aws', 'unix']",Quality Assurance and Testing
blackbaud,1 - 5 years,Hyderabad,6L_to_10L,"['Role: Blockchain Quality Assurance Engineer', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate']","['html', 'c#', 'javascript', '.net', 'application software', 'css', 'sql', 'git', 'gcp', 'api', 'postfix', 'rest', 'smtp', 'microsoft azure', 'access management', 'google', 'cosmos', 'sql server', 'web technologies', 'scrum', 'agile', 'aws']",Blockchain Quality Assurance Engineer
unknown company,5 - 9 years,India,6L_to_10L,"['Role: QA Team Manager', 'Industry Type: Recruitment / Staffing', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate']","['test cases', 'java', 'selenium', 'automation testing', 'css', 'confluence', 'wiki', 'manual testing', 'jquery', 'sql', 'quality engineering', 'asp.net', 'json', 'html', 'mvc', 'jira', 'agile methodology', 'c#', 'entity framework', 'javascript', 'sql server', 'linq', '.net', 'agile']",QA Team Manager
gsource technologies,5 - 10 years,Pune,6L_to_10L,"['Role: QA Team Manager', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Product management', 'Computer science', 'Data analysis', 'agile project management', 'Analytical', 'QA Lead', 'Agile', 'Scrum', 'JIRA', 'SQL']",QA Team Manager
qualitykiosk technologies,7 - 12 years,Mumbai (All Areas),9.5-16 Lacs P.A.,"['Role: QA Team Manager', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: Any Graduate']","['test lead', 'Finacle', 'Manual Testing', 'Core Banking Solution', 'Software Testing', 'Functional Testing', 'Manual Functional Testing']",QA Team Manager
cashfree payments,3 - 5 years,Bengaluru,6L_to_10L,"['Role: Blockchain Quality Assurance Engineer', 'Industry Type: FinTech / Payments', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Computer science', 'GIT', 'Front end', 'Mobile development', 'Web development', 'Javascript', 'Agile', 'JIRA', 'Continuous improvement', 'CSS3']",Blockchain Quality Assurance Engineer
bahwan cybertek,5 - 10 years,Chennai,6L_to_10L,"['Role: Mobile / App Developer', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Software Development', 'UG: Any Graduate', 'PG: Any Postgraduate']","['android', 'ios', 'java', 'design patterns', 'continuous integration', 'c++', 'mobile application development', 'objective c', 'git', 'ui', 'mobile applications', 'swift', 'rest', 'ux', 'xcode', 'iphone', 'ipad']",Mobile
elfonze technologies,5 - 10 years,Bengaluru,6L_to_10L,"['Role: Blockchain Quality Assurance Engineer', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Training', 'Automation', 'Cloud', 'Application development', 'Data analytics', 'Management', 'Oracle', 'Continuous improvement', 'Operations', 'Analytics']",Blockchain Quality Assurance Engineer
enphase energy,5 - 10 years,Bengaluru,6L_to_10L,"['Role: Blockchain Quality Assurance Engineer', 'Industry Type: Telecom / ISP', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: Any Graduate', 'PG: M.Tech in Any Specialization']","['Coding', 'Project management', 'Debugging', 'System design', 'Application development', 'HTTP', 'JIRA', 'SQL', 'Python']",Blockchain Quality Assurance Engineer
unknown company,4 - 5 years,Maharashtra,6L_to_10L,"['Role: Automation Test Engineer', 'Industry Type: Recruitment / Staffing', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate']","['automation testing', 'manual testing', 'java', 'hvac', 'c++', 'python', 'software testing', 'plc', 'building management system', 'bms', 'lon', 'selenium webdriver', 'scada', 'spi', 'iot', 'functional testing', 'modbus', 'embedded c', 'api testing', 'jira']",Automation Test Engineer
unknown company,7 - 12 years,Maharashtra,6L_to_10L,"['Role: Test Analyst', 'Industry Type: Recruitment / Staffing', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: Any Graduate', 'PG: Any Postgraduate']","['regression testing', 'test management tool', 'lean', 'devops', 'agile', 'automation framework', 'python', 'alm', 'software testing', 'cucumber', 'investment banking', 'microsoft azure', 'sql', 'qc', 'java', 'hp quality center', 'git', 'selenium', 'gcp', 'jenkins', 'aws', 'jira']",Test Analyst
unknown company,5 - 10 years,Maharashtra,6L_to_10L,"['Role: Test Analyst', 'Industry Type: Recruitment / Staffing', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: Any Graduate', 'PG: Any Postgraduate']","['regression testing', 'test management tool', 'lean', 'devops', 'agile', 'automation framework', 'python', 'alm', 'software testing', 'cucumber', 'investment banking', 'microsoft azure', 'banking products', 'sql', 'qc', 'hp quality center', 'java', 'git', 'selenium', 'gcp', 'jenkins', 'aws', 'jira']",Test Analyst
unknown company,5 - 10 years,Karnataka,6L_to_10L,"['Role: Automation Test Engineer', 'Industry Type: Recruitment / Staffing', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate']","['automation testing', 'java', 'selenium', 'api', 'software testing', 'regression testing', 'cucumber', 'maven', 'manual testing', 'selenium webdriver', 'imp', 'budgeting', 'jmeter', 'sql', 'functional testing', 'dataguard', 'jenkins', 'testng', 'api testing', 'rman', 'jira']",Automation Test Engineer
unknown company,5 - 10 years,Tamil Nadu,6L_to_10L,"['Role: Software Developer in Test (SDET)', 'Industry Type: Recruitment / Staffing', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate']","['automation testing', 'collection framework', 'java', 'selenium', 'oops', 'rest', 'software testing', 'maven', 'cucumber', 'manual testing', 'selenium webdriver', 'database testing', 'functional testing', 'git', 'test strategy', 'jenkins', 'mysql', 'testng', 'api testing', 'jira']",Software Developer in Test
unknown company,4 - 5 years,Pune,6L_to_10L,"['Role: AR VR QA Tester', 'Industry Type: Recruitment / Staffing', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate']","['gtm', 'software testing', 'javascript', 'sql', 'html', 'adobe analytics', 'regression testing', 'test case execution', 'test cases', 'veeva', 'salesforce', 'marketing', 'trade management', 'google analytics', 'bug reporting', 'agile', 'jira']",AR VR QA Tester
unknown company,5 - 10 years,Karnataka,6L_to_10L,"['Role: Quality Assurance and Testing - Other', 'Industry Type: Recruitment / Staffing', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate']","['alm', 'test management tool', 'mf', 'api testing', 'software testing', 'regression testing', 'automation testing', 'manual testing', 'quality assurance testing', 'backend testing', 'functional testing', 'quality assurance', 'mobile testing', 'telecom', 'api', 'writing test cases', 'jira']",Quality Assurance and Testing
unknown company,5 - 10 years,Maharashtra,6L_to_10L,"['Role: Test Analyst', 'Industry Type: Recruitment / Staffing', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate']","['manual testing', 'software development life cycle', 'mobile applications', 'web application testing', 'software testing', 'test cases', 'test scripts', 'test execution', 'scada', 'test data', 'test strategy', 'mes', 'sdlc', 'test design', 'test reporting']",Test Analyst
unknown company,5 - 10 years,Karnataka,6L_to_10L,"['Role: Automation Test Engineer', 'Industry Type: Recruitment / Staffing', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate']","['python', 'sql', 'automation tools', 'scripting languages', 'automation framework', 'continuous integration', 'performance testing', 'automation testing', 'cucumber', 'javascript', 'etl testing', 'java', 'selenium', 'powershell', 'jenkins', 'teamcity', 'api', 'api testing', 'jira']",Automation Test Engineer
unknown company,5 - 10 years,Karnataka,6L_to_10L,"['Role: Manual Test Engineer', 'Industry Type: Recruitment / Staffing', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate']","['jira', 'automation testing', 'test management tool', 'api testing', 'confluence', 'manual testing', 'docker', 'sql', 'git', 'java', 'devops', 'linux', 'jenkins', 'mf', 'telecom', 'agile methodology', 'github', 'alm', 'software testing', 'maven', 'svn', 'bamboo', 'agile', 'aws', 'video conferencing']",Manual Test Engineer
unknown company,5 - 8 years,Karnataka,6L_to_10L,"['Role: Automation Test Engineer', 'Industry Type: Recruitment / Staffing', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate']","['selenium webdriver', 'javascript', 'sql', 'api testing', 'rest', 'python', 'sql queries', 'software testing', 'automation testing', 'defect tracking', 'test cases', 'soap ui', 'functional testing', 'java', 'automation tools', 'selenium', 'jenkins', 'webdriver', 'soap']",Automation Test Engineer
unknown company,4 - 6 years,Karnataka,6L_to_10L,"['Role: White Box Testing Engineer', 'Industry Type: Recruitment / Staffing', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate']","['python', 'robot framework', 'automotive infotainment', 'jd', 'software testing', 'regression testing', 'automation testing', 'manual testing', 'functional testing', 'employee engagement', 'recruitment', 'mobile application testing', 'kra', 'black box testing', 'api testing', 'jira']",White Box Testing Engineer
unknown company,5 - 7 years,Karnataka,6L_to_10L,"['Role: Manual Test Engineer', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate']","['software testing', 'manual testing', 'gui testing', 'functional testing', 'bug reporting', 'regression testing', 'automation testing', 'smoke testing', 'database testing', 'integration testing', 'mobile testing', 'sanity testing', 'black box testing', 'web application testing']",Manual Test Engineer
unknown company,6 - 10 years,Karnataka,6L_to_10L,"['Role: Automation Test Engineer', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: Any Graduate', 'PG: Any Postgraduate']","['sql', 'nosql', 'troubleshooting', 'continuous integration', 'cucumber', 'microservices', 'quality engineering', 'java', 'git', 'selenium', 'linux', 'jenkins', 'debugging', 'api', 'scrum', 'agile', 'testng', 'unix']",Automation Test Engineer
suzva software technologies,2 - 7 years,Mumbai,6L_to_10L,"['Role: Security Testing Engineer', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate', 'Doctorate: Doctorate Not Required']","['OSCP', 'mobile application testing', 'web application testing', 'MIS Reporting']",Security Testing Engineer
unknown company,5 - 8 years,Karnataka,6L_to_10L,"['Role: QA Team Manager', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate']","['software testing', 'test management', 'manual testing', 'functional testing', 'hp quality center', 'project management', 'regression testing', 'automation testing', 'business analysis', 'database testing', 'selenium', 'quality assurance', 'test planning', 'agile', 'api testing', 'jira']",QA Team Manager
unknown company,5 - 7 years,Maharashtra,6L_to_10L,"['Role: Performance Testing Engineer', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate']","['performance monitoring', 'performance testing', 'microservices', 'performance testing tool', 'api', 'load runner', 'side', 'dynatrace', 'jmeter', 'functional testing', 'java', 'testing tools', 'test strategy', 'http', 'scrum', 'html', 'performance analysis']",Performance Testing Engineer
diverse lynx,3 - 8 years,Hyderabad,6L_to_10L,"['Role: Software Developer in Test (SDET)', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: Any Graduate', 'PG: Any Postgraduate']","['QA', 'Core Java', 'Automation', 'Automation testing', 'Test scripts', 'Defect tracking', 'devops', 'Selenium', 'JIRA', 'Bugzilla']",Software Developer in Test
spowerinc,1 years,Hyderabad,6 Lacs P.A.,"['Role: Quality Assurance and Testing - Other', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: Any Graduate']","['SAP Testing', 'SAP']",Quality Assurance and Testing
uplers,1 - 4 years,"Mumbai, Navi Mumbai, Mumbai (All Areas)",8-15 Lacs P.A.,"['Role: Quality Assurance and Testing - Other', 'Industry Type: Software Product', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: Any Graduate']","['Automation Testing', 'testing', 'Javascript']",Quality Assurance and Testing
suzva software technologies,2 - 7 years,Mumbai,6L_to_10L,"['Role: Security Testing Engineer', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate', 'Doctorate: Doctorate Not Required']","['API', 'testing methodologies', 'MIS Reporting']",Security Testing Engineer
unknown company,4 - 6 years,Pune,6L_to_10L,"['Role: Automation Test Engineer', 'Industry Type: Recruitment / Staffing', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Selenium', 'Java', 'Test Automation', 'Jenkin', 'API Testing', 'test cases', 'SOAP']",Automation Test Engineer
e billing solutions (ebs),4 - 8 years,Hyderabad,6L_to_10L,"['Role: Test Analyst', 'Industry Type: Internet', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: Any Graduate', 'PG: Any Postgraduate']","['software development life cycle', 'functional testing', 'software testing', 'documentation', 'testing methodologies', 'communication skills']",Test Analyst
atlasrtx,4 - 8 years,Pune,6L_to_10L,"['Role: Automation Test Engineer', 'Industry Type: Software Product', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: B.Tech/B.E. in Any Specialization', 'PG: M.Tech in Any Specialization, MCA in Computers']","['Automation', 'Linux', 'RDBMS', 'MySQL', 'Javascript', 'Flex', 'Agile', 'Workflow', 'Oracle', 'SDLC']",Automation Test Engineer
unknown company,5 - 7 years,Karnataka,6L_to_10L,"['Role: Test Analyst', 'Industry Type: Recruitment / Staffing', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate']","['test automation', 'test management', 'test planning', 'JIRA']",Test Analyst
