company,experiance,city,salary,job_detail,required_skill,job_tittle
principal global services,8 - 13 years,Hyderabad,10L_to_15L,"['Role: System Security Engineer', 'Industry Type: Financial Services', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: Any Graduate', 'PG: Any Postgraduate']","['remediation', 'Automation', 'Linux', 'Powershell', 'Analytical', 'Nessus', 'Vulnerability management', 'Operations', 'Python', 'Penetration testing']",System Security Engineer
fortune global 500 electronics manufactu...,4 - 9 years,"Hyderabad, Pune, Bengaluru",10-20 Lacs P.A.,"['Role: Security Engineer / Analyst', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: Any Graduate']","['Migration', 'Upgrade']",Security Engineer
smart software testing solutions,4 - 9 years,Noida,10L_to_15L,"['Role: Cloud System Administration', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Infrastructure Services', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Security audit', 'Analytical', 'Billing', 'Network security', 'Cost management', 'VMS', 'SSL', 'Solution Architect']",Cloud System Administration
squareshift.co,8 - 12 years,Chennai,10L_to_15L,"['Role: DevOps Consultant / Architect', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: DevOps', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Automation', 'cloud security', 'Networking', 'ISO', 'devops', 'Infrastructure', 'Technical Lead', 'Application development', 'Monitoring', 'Python']",DevOps Consultant
accenture,3 - 8 years,Bengaluru,10L_to_15L,"['Role: Associate / Consultant', 'Industry Type: IT Services & Consulting', 'Department: Consulting', 'Employment Type: Full Time, Permanent', 'Role Category: Management Consulting', 'UG: Any Graduate', 'PG: Any Postgraduate']","['management consulting', 'cyber security', 'business development', 'cloud computing', 'artificial intelligence', 'project management', 'business transformation', 'business analysis', 'solution architecting', 'corporate strategy']",Associate
accenture,5 - 10 years,Bengaluru,10L_to_15L,"['Role: Branch Sales Manager (B2B)', 'Industry Type: IT Services & Consulting', 'Department: Sales & Business Development', 'Employment Type: Full Time, Permanent', 'Role Category: Enterprise & B2B Sales', 'UG: Any Graduate', 'PG: Any Postgraduate']","['cyber security', 'business development', 'sales', 'selling', 'cloud computing', 'sap upgrade', 'project management', 'program management', 'corporate sales', 'marketing', 'netweaver', 'key account management', 'sap basis', 'asset', 'sap hana', 'sap basis administration', 'solution management']",Branch Sales Manager
unknown company,9 - 10 years,Hyderabad,10L_to_15L,"['Role: Practice Manager / Head', 'Industry Type: Recruitment / Staffing', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Software Development', 'UG: Any Graduate', 'PG: Any Postgraduate']","['SAP HANA', 'cloud security']",Practice Manager
accenture,3 - 8 years,Bengaluru,10L_to_15L,"['Role: Branch Sales Manager (B2B)', 'Industry Type: IT Services & Consulting', 'Department: Sales & Business Development', 'Employment Type: Full Time, Permanent', 'Role Category: Enterprise & B2B Sales', 'UG: Any Graduate', 'PG: Any Postgraduate']","['cyber security', 'business development', 'financial services', 'sales', 'cloud computing', 'project management', 'program management', 'corporate sales', 'broking', 'marketing', 'netweaver', 'sap basis', 'selling', 'asset', 'sap basis administration', 'sap hana', 'solution management']",Branch Sales Manager
accenture,4 - 8 years,Gurugram,10L_to_15L,"['Role: Branch Sales Manager (B2B)', 'Industry Type: IT Services & Consulting', 'Department: Sales & Business Development', 'Employment Type: Full Time, Permanent', 'Role Category: Enterprise & B2B Sales', 'UG: Any Graduate', 'PG: Any Postgraduate']","['cyber security', 'sales', 'life sciences', 'cloud computing', 'sap upgrade', 'project management', 'ecc', 'business development', 'corporate sales', 'marketing', 'netweaver', 'sap basis', 'selling', 'asset', 'sap hana', 'sap basis administration', 'solution management']",Branch Sales Manager
simplilearn,4 - 9 years,Bengaluru,10L_to_15L,"['Role: Head - Analytics / BI', 'Industry Type: Education / Training', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: B.Tech/B.E. in Any Specialization']","['SQL', 'Excel', 'Google Analytics', 'Tableau', 'Dashboards', 'Python']",Head
abc fitness solutions,3 - 8 years,Hyderabad,10L_to_15L,"['Role: Regional Sales Manager (B2C)', 'Industry Type: IT Services & Consulting', 'Department: Sales & Business Development', 'Employment Type: Full Time, Permanent', 'Role Category: Retail & B2C Sales', 'UG: Any Graduate', 'PG: Any Postgraduate']","['css', 'javascript', 'data science', 'data privacy', 'html', 'it risk management', 'risk management', 'risk assessment', 'project management', 'cloud security', 'cyber security', 'information security', 'internal audit', 'jquery', 'sql server', 'sql', 'it audit', 'java', 'mysql', 'pci dss']",Regional Sales Manager
iarm information security,5 - 7 years,Mumbai,10L_to_15L,"['Role: Cyber Security', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: Any Graduate']","['SIEM', 'Log Analysis']",Cyber Security
photon,8 - 13 years,"Pune, Chennai, Bengaluru",10L_to_15L,"['Role: Head - Engineering', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Software Development', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate']","['git', 'github', 'maven', 'gradle', 'spring boot', 'continuous integration', 'sonar', 'mockito', 'microservices', 'spring', 'react.js', 'jms', 'java', 'devops', 'solr', 'api', 'rest', 'cyber security', 'javascript', 'nosql', 'cassandra', 'agile', 'api testing']",Head
kiya.ai,10 - 15 years,"Pune, Chennai",10-20 Lacs P.A.,"['Role: IT Security - Other', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: Any Graduate']","['Cyber Security', 'GRC', 'Archer', 'ISO', 'Servicenow', 'ISO 27001', 'Information Security']",IT Security
khaitan & co,8 - 12 years,Delhi / NCR,10L_to_15L,"['Role: IT Infrastructure Services - Other', 'Industry Type: Legal', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Infrastructure Services', 'UG: B.Tech/B.E. in Any Specialization, B.Sc in IT, BCA in Any Specialization']","['Green Field Projects', 'Vendor Management', 'Project Budgeting', 'IT Infrastructure Management', 'Change Management', 'Cyber Security', 'Compliance', 'Contract Negotiations', 'Firewall', 'Virtualization', 'ITIL Process']",IT Infrastructure Services
aimnxt technologies,10 - 15 years,Hyderabad,12-18 Lacs P.A.,"['Role: Team Lead / Network Manager', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Hardware & Networks', 'Employment Type: Full Time, Permanent', 'Role Category: IT Network', 'UG: B.Tech/B.E. in Any Specialization']","['CCIE', 'CCNA', 'Ccsp', 'Cloud Security', 'Cyber Security', 'WAN', 'Endpoint Security', 'IPS', 'MPLS', 'Firewall', 'NAC', 'Iso 27001 Lead Auditor', 'VPN', 'Infrastructure Security', 'HIPAA', 'LAN', 'IDS', 'AWS']",Team Lead
lovely international trust,10 - 20 years,"Jalandhar, Phagwara",10L_to_15L,"['Role: IT Infrastructure Services - Other', 'Industry Type: Education / Training', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Infrastructure Services', 'PG: MCA in Any Specialization, MS/M.Sc(Science) in Any Specialization, M.Tech in Any Specialization']","['IT Operations', 'Cyber Security', 'IT Networking', '.Net', 'React.Js', 'IT Hardware', 'AWS', 'IT Infrastructure', 'IT Security', 'Information Technology', 'Python']",IT Infrastructure Services
